score,median_cagr,worst_cagr,worst_mdd,median_sharpe,family,params
0.46858622820826396,0.25346579034735317,-0.1438610801280925,0.2462697158813495,0.7635590409204116,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 24, ""n"": 1, ""vol_z"": 1.0}"
0.44593861109689975,0.17815730626989768,-0.05686281849246855,0.2086225089324295,0.7592278865491189,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 6, ""n"": 1, ""vol_z"": 1.0}"
0.4197280028489786,0.1580159466674349,-0.005660483406582095,0.22006013817450554,0.7608658713757084,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 6, ""n"": 1, ""vol_z"": 1.0}"
0.36529456865746474,0.1799847717915275,-0.10731053081840114,0.23464629985763485,0.649922486487168,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 12, ""n"": 1, ""vol_z"": 0.5}"
0.36267681206450636,0.20167825573449716,-0.048913062713355826,0.2667458689062715,0.8212644519327477,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 12, ""n"": 1, ""vol_z"": 1.0}"
0.25211322748620185,0.20058026378557403,-0.11124131768047452,0.26099311256614166,0.7603506723263073,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 12, ""n"": 1, ""vol_z"": 0.5}"
0.2125918275127023,0.17375173246232212,-0.029030516927646355,0.2593807629538536,0.6054361621566462,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 24, ""n"": 1, ""vol_z"": 1.0}"
0.1450514114037061,0.1355516621655255,0.06810289195255459,0.269931628609444,0.7301580482391448,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 12, ""n"": 1, ""vol_z"": 1.0}"
0.1004074879604508,0.23938034253979612,-0.013465967551424596,0.2906557277968821,0.7868840527245717,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 24, ""n"": 2, ""vol_z"": 1.0}"
0.061376951859131716,0.19401548622362286,-0.1038395911446296,0.2787549959204899,0.7329840442511057,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 12, ""n"": 2, ""vol_z"": 0.5}"
-0.018109543770358755,0.07259750295277245,-0.05686281849246855,0.26487801300733527,0.3759007139670535,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 6, ""n"": 2, ""vol_z"": 1.0}"
-0.03200332929357487,0.1714830689875133,-0.15934735844228842,0.2817257746502273,0.6149774842011348,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 24, ""n"": 2, ""vol_z"": 1.0}"
-0.039906942091541595,0.06205021672546007,-0.021370662311939292,0.2695161576856161,0.5052014206888793,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 6, ""n"": 2, ""vol_z"": 1.0}"
-0.06996324928072599,0.1718152975425783,-0.048235878414316646,0.2930308897225875,0.6886777307586641,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 12, ""n"": 2, ""vol_z"": 1.0}"
-0.1150235456580743,0.14575951503848195,0.07771725413125452,0.2959188727078389,0.7522815740609856,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 12, ""n"": 2, ""vol_z"": 1.0}"
-0.27408480666522256,0.07204761161281431,-0.1360472176050912,0.2776407804312315,0.40437718705871256,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 12, ""n"": 2, ""vol_z"": 0.5}"
-0.3319931767238927,0.3176954468164995,-0.27387165955607995,0.32339730361528574,0.9858959033638548,compression_breakout,"{""breakout"": 42, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 12, ""n"": 2, ""vol_z"": 0.5}"
-0.3433792851454324,0.16088476465910273,-0.17114626429786228,0.31128076628073253,0.9440207982507187,flow_continuation,"{""flow"": 0.12, ""hold"": 12, ""n"": 2, ""rz"": 1.5, ""vol_z"": 0.5}"
-0.3627215658501546,0.11395468810724907,-0.10758292073120868,0.2992096846380622,0.5494222661685205,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 6, ""n"": 1, ""vol_z"": 0.5}"
